Time,dock coin: (Worldwide)
2018-10-23T04:44:00+01:00,0
2018-10-23T04:52:00+01:00,0
2018-10-23T05:00:00+01:00,0
2018-10-23T05:08:00+01:00,0
2018-10-23T05:16:00+01:00,0
2018-10-23T05:24:00+01:00,42
2018-10-23T05:32:00+01:00,21
2018-10-23T05:40:00+01:00,0
2018-10-23T05:48:00+01:00,21
2018-10-23T05:56:00+01:00,83
2018-10-23T06:04:00+01:00,41
2018-10-23T06:12:00+01:00,0
2018-10-23T06:20:00+01:00,0
2018-10-23T06:28:00+01:00,100
2018-10-23T06:36:00+01:00,40
2018-10-23T06:44:00+01:00,59
2018-10-23T06:52:00+01:00,19
2018-10-23T07:00:00+01:00,0
2018-10-23T07:08:00+01:00,0
2018-10-23T07:16:00+01:00,0
2018-10-23T07:24:00+01:00,18
2018-10-23T07:32:00+01:00,0
2018-10-23T07:40:00+01:00,17
2018-10-23T07:48:00+01:00,35
2018-10-23T07:56:00+01:00,0
2018-10-23T08:04:00+01:00,0
2018-10-23T08:12:00+01:00,16
2018-10-23T08:20:00+01:00,0
2018-10-23T08:28:00+01:00,0
2018-10-23T08:36:00+01:00,16
2018-10-23T08:44:00+01:00,33
2018-10-23T08:52:00+01:00,16
2018-10-23T09:00:00+01:00,16
2018-10-23T09:08:00+01:00,16
2018-10-23T09:16:00+01:00,16
2018-10-23T09:24:00+01:00,47
2018-10-23T09:32:00+01:00,63
2018-10-23T09:40:00+01:00,31
2018-10-23T09:48:00+01:00,46
2018-10-23T09:56:00+01:00,0
2018-10-23T10:04:00+01:00,31
2018-10-23T10:12:00+01:00,60
2018-10-23T10:20:00+01:00,0
2018-10-23T10:28:00+01:00,29
2018-10-23T10:36:00+01:00,44
2018-10-23T10:44:00+01:00,87
2018-10-23T10:52:00+01:00,30
2018-10-23T11:00:00+01:00,44
2018-10-23T11:08:00+01:00,88
2018-10-23T11:16:00+01:00,14
2018-10-23T11:24:00+01:00,29
2018-10-23T11:32:00+01:00,14
2018-10-23T11:40:00+01:00,27
2018-10-23T11:48:00+01:00,53
2018-10-23T11:56:00+01:00,0
2018-10-23T12:04:00+01:00,13
2018-10-23T12:12:00+01:00,26
2018-10-23T12:20:00+01:00,35
2018-10-23T12:28:00+01:00,30
