,actual,predicted
2018-10-18 04:00:00,6733.12,6622.735626384617
2018-10-18 05:00:00,6732.65,6379.329192638398
2018-10-18 06:00:00,6723.0,6555.535528600217
2018-10-18 07:00:00,6722.19,6401.211772084237
2018-10-18 08:00:00,6729.14,6412.709516465665
2018-10-18 09:00:00,6715.86,6633.552955895663
2018-10-18 10:00:00,6717.41,6620.259899988771
2018-10-18 11:00:00,6716.08,6397.006813153625
2018-10-18 12:00:00,6707.42,6435.822506591679
2018-10-18 13:00:00,6704.9,6576.910343170167
2018-10-18 14:00:00,6710.91,6427.921098858119
2018-10-18 15:00:00,6643.0,6405.7617825865755
2018-10-18 16:00:00,6634.0,6609.720300972463
2018-10-18 17:00:00,6636.03,6634.839260458947
2018-10-18 18:00:00,6618.72,6761.578019365669
2018-10-18 19:00:00,6593.99,6474.0544194728145
2018-10-18 20:00:00,6601.96,6771.481173366309
2018-10-18 21:00:00,6618.96,6716.674612596632
2018-10-18 22:00:00,6634.59,6467.323802277447
2018-10-18 23:00:00,6602.04,6681.719074934722
2018-10-19 00:00:00,6625.0,6646.976430863143
2018-10-19 01:00:00,6613.0,6479.977928996087
2018-10-19 02:00:00,6629.11,6563.567603811623
2018-10-19 03:00:00,6588.01,6626.837243735791
2018-10-19 04:00:00,6600.9,6377.39153802395
2018-10-19 05:00:00,6602.22,6616.352544933558
2018-10-19 06:00:00,6586.65,6716.438119366766
2018-10-19 10:00:00,6572.61,6457.032123684884
2018-10-19 11:00:00,6580.01,6580.408306583763
2018-10-19 12:00:00,6562.83,6627.781726151706
2018-10-19 13:00:00,6572.35,6454.985662311316
2018-10-19 14:00:00,6574.22,6562.038595587016
2018-10-19 15:00:00,6567.23,6446.06574381888
2018-10-19 16:00:00,6569.96,6561.747450560332
2018-10-19 17:00:00,6555.38,6403.152904540301
2018-10-19 18:00:00,6532.01,6405.873818770052
2018-10-19 19:00:00,6539.76,6607.321087092162
2018-10-19 20:00:00,6540.49,6508.450521469117
2018-10-19 21:00:00,6528.88,6456.717130601407
2018-10-19 22:00:00,6518.06,6595.849178105594
2018-10-19 23:00:00,6545.23,6627.860474422575
2018-10-20 00:00:00,6537.2,6530.987928807736
2018-10-20 01:00:00,6543.05,6419.355671793223
2018-10-20 02:00:00,6549.11,6385.36722251773
2018-10-20 03:00:00,6551.48,6585.7535007298
2018-10-20 04:00:00,6591.0,6380.958809852601
2018-10-20 05:00:00,6576.43,6436.055521979929
2018-10-20 06:00:00,6573.97,6736.865470513702
2018-10-20 07:00:00,6580.03,6654.655256733299
2018-10-20 08:00:00,6573.58,6591.799479961396
2018-10-20 09:00:00,6597.78,6527.510832443834
2018-10-20 10:00:00,6592.5,6553.200903207065
2018-10-20 11:00:00,6608.01,6590.057081311942
2018-10-20 12:00:00,6589.69,6643.864259451629
2018-10-20 13:00:00,6573.13,6356.009270936252
2018-10-20 14:00:00,6573.01,6636.001853227616
2018-10-20 15:00:00,6579.54,6600.251877173782
2018-10-20 16:00:00,6565.15,6596.301794350148
2018-10-20 17:00:00,6582.16,6429.113750115038
2018-10-20 18:00:00,6589.38,6559.41133466363
2018-10-20 19:00:00,6588.69,6365.03898985684
2018-10-20 20:00:00,6590.01,6623.146260112525
2018-10-20 21:00:00,6588.4,6738.775550812484
2018-10-20 22:00:00,6597.0,6547.318630948664
2018-10-20 23:00:00,6622.01,6467.22319328785
2018-10-21 00:00:00,6622.73,6408.778810188175
2018-10-21 01:00:00,6616.62,6570.8355475366125
2018-10-21 02:00:00,6618.42,6661.968412399293
2018-10-21 03:00:00,6617.01,6414.859567835928
2018-10-21 04:00:00,6613.57,6373.860038280488
2018-10-21 05:00:00,6620.52,6570.6199213564405
2018-10-21 06:00:00,6621.99,6465.954526349903
2018-10-21 07:00:00,6627.61,6353.983179777862
2018-10-21 08:00:00,6636.0,6624.525721147657
2018-10-21 09:00:00,6618.43,6574.8725764006385
2018-10-21 10:00:00,6622.73,6570.712829411031
2018-10-21 11:00:00,6636.12,6437.597944736482
2018-10-21 12:00:00,6651.93,6402.891321167351
2018-10-21 13:00:00,6645.0,6396.656047984959
2018-10-21 14:00:00,6637.0,6649.4797315746555
2018-10-21 15:00:00,6630.01,6595.492947757245
2018-10-21 16:00:00,6626.86,6390.659255370499
2018-10-21 17:00:00,6625.6,6595.249002009631
2018-10-21 18:00:00,6631.57,6428.474572509528
2018-10-21 19:00:00,6622.04,6669.593828558923
2018-10-21 20:00:00,6590.65,6712.492011219264
2018-10-21 21:00:00,6590.11,6586.044397339226
2018-10-21 22:00:00,6593.0,6543.228440791369
2018-10-21 23:00:00,6606.14,6626.306624472142
2018-10-22 00:00:00,6589.98,6609.18446494639
2018-10-22 01:00:00,6597.91,6635.031038582326
2018-10-22 02:00:00,6620.32,6449.5989824831495
2018-10-22 03:00:00,6622.64,6609.2661942243585
2018-10-22 04:00:00,6629.52,6671.7247518003
2018-10-22 05:00:00,6615.06,6485.100541278721
2018-10-22 06:00:00,6581.0,6422.166761487723
2018-10-22 07:00:00,6591.77,6701.268022656442
2018-10-22 08:00:00,6587.8,6668.680398300291
2018-10-22 09:00:00,6594.0,6404.302579611541
2018-10-22 10:00:00,6583.77,6639.6824033260355
2018-10-22 11:00:00,6573.99,6389.761972233654
2018-10-22 12:00:00,6570.91,6483.963038653136
2018-10-22 13:00:00,6563.49,6603.762261450292
2018-10-22 14:00:00,6577.9,6584.813489824534
2018-10-22 15:00:00,6576.01,6386.883313044907
2018-10-22 16:00:00,6563.03,6631.905452638865
2018-10-22 17:00:00,6560.14,6384.926530301572
2018-10-22 18:00:00,6580.0,6466.122953251005
2018-10-22 19:00:00,6578.01,6708.671602204443
2018-10-22 20:00:00,6576.96,6598.642381757499
2018-10-22 21:00:00,6581.2,6407.870845109225
2018-10-22 22:00:00,6585.83,6604.291390210391
2018-10-22 23:00:00,6588.05,6672.854553490878
2018-10-23 00:00:00,6590.42,6433.8456020504245
2018-10-23 01:00:00,6577.88,6505.914181262256
2018-10-23 02:00:00,6585.01,6616.69983226061
2018-10-23 03:00:00,6585.39,6668.481912910939
2018-10-23 04:00:00,6576.59,6383.247478052975
2018-10-23 05:00:00,6573.46,6431.04941739142
2018-10-23 06:00:00,6572.99,6625.3194142878065
2018-10-23 07:00:00,6550.7,6588.609305530787
2018-10-23 08:00:00,6542.47,6789.448199987412
2018-10-23 09:00:00,6541.87,6413.573511689902
2018-10-23 10:00:00,6567.99,6404.33984220028
2018-10-23 11:00:00,6562.31,6569.408141970635
2018-10-23 12:00:00,6559.7,6440.468406155706
2018-10-23 13:00:00,6556.6,6637.552970588208
2018-10-23 14:00:00,6568.62,6409.825143679977
2018-10-23 15:00:00,6558.44,6388.357421055437
2018-10-23 16:00:00,6560.93,6707.840149641038
2018-10-23 17:00:00,6576.52,6417.437393724919
2018-10-23 18:00:00,6553.72,6448.69524049759
2018-10-23 19:00:00,6552.0,6492.497413560749
2018-10-23 20:00:00,6547.48,6553.965531527997
2018-10-23 21:00:00,6553.51,6412.283729285003
2018-10-23 22:00:00,6566.52,6584.646553426982
2018-10-23 23:00:00,6569.04,6611.693727672101
2018-10-24 00:00:00,6569.3,6377.1682109087715
2018-10-24 01:00:00,6581.65,6609.202599406243
2018-10-24 02:00:00,6620.95,6645.702050328256
2018-10-24 03:00:00,6615.09,6649.633998692037
