,actual,predicted,compare,buy_sell
2018-01-03 21:37:30,0.986240414,1.0019275985538536,0.0,1
2018-01-03 21:37:40,0.986211775,1.001624341918178,0.0,1
2018-01-03 21:37:50,0.986322336,1.0013541186444952,0.0,1
2018-01-03 21:38:00,0.986327665,1.0005802348256527,0.986240414,1
2018-01-03 21:38:10,0.986418911,1.000059251716082,0.986211775,1
2018-01-03 21:38:20,0.986376951,1.0003805241679904,0.986322336,1
2018-01-03 21:38:30,0.986360966,0.9998766505832282,0.986327665,1
2018-01-03 21:38:40,0.986322336,0.9998411096403391,0.986418911,1
2018-01-03 21:38:50,0.986313012,1.000105367805148,0.986376951,1
2018-01-03 21:39:00,0.0,0.0,0.986360966,0
2018-01-03 21:39:10,0.0,0.0,0.986322336,0
2018-01-03 21:39:20,0.0,0.0,0.986313012,0
2018-01-03 21:39:30,0.0,0.0,0.0,0
2018-01-03 21:39:40,0.0,0.0,0.0,0
2018-01-03 21:39:50,0.0,0.0,0.0,0
2018-01-03 21:40:00,0.0,0.0,0.0,0
2018-01-03 21:40:10,0.0,0.0,0.0,0
2018-01-03 21:40:20,0.0,0.0,0.0,0
2018-01-03 21:40:30,0.0,0.0,0.0,0
2018-01-03 21:40:40,0.0,0.0,0.0,0
2018-01-03 21:40:50,0.0,0.0,0.0,0
2018-01-03 21:41:00,0.0,0.0,0.0,0
2018-01-03 21:41:10,0.0,0.0,0.0,0
2018-01-03 21:41:20,0.0,0.0,0.0,0
2018-01-03 21:41:30,0.0,0.0,0.0,0
2018-01-03 21:41:40,0.0,0.0,0.0,0
2018-01-03 21:41:50,0.0,0.0,0.0,0
2018-01-03 21:42:00,0.0,0.0,0.0,0
2018-01-03 21:42:10,0.0,0.0,0.0,0
2018-01-03 21:42:20,0.0,0.0,0.0,0
2018-01-03 21:42:30,0.0,0.0,0.0,0
2018-01-03 21:42:40,0.0,0.0,0.0,0
2018-01-03 21:42:50,0.0,0.0,0.0,0
2018-01-03 21:43:00,0.0,0.0,0.0,0
2018-01-03 21:43:10,0.0,0.0,0.0,0
2018-01-03 21:43:20,0.0,0.0,0.0,0
2018-01-03 21:43:30,0.0,0.0,0.0,0
2018-01-03 21:43:40,0.0,0.0,0.0,0
2018-01-03 21:43:50,0.0,0.0,0.0,0
2018-01-03 21:44:00,0.0,0.0,0.0,0
2018-01-03 21:44:10,0.986299025,1.0002970405833769,0.0,1
2018-01-03 21:44:20,0.986326332,1.0006656794223463,0.0,1
2018-01-03 21:44:30,0.986380947,1.0006225790660164,0.0,1
2018-01-03 21:44:40,0.986667342,1.0005721742452776,0.986299025,1
2018-01-03 21:44:50,0.986701309,1.000363096830004,0.986326332,1
2018-01-03 21:45:00,0.986641366,0.999830532747936,0.986380947,1
2018-01-03 21:45:10,0.0,0.0,0.986667342,0
2018-01-03 21:45:20,0.0,0.0,0.986701309,0
2018-01-03 21:45:30,0.0,0.0,0.986641366,0
2018-01-03 21:45:40,0.0,0.0,0.0,0
2018-01-03 21:45:50,0.0,0.0,0.0,0
2018-01-03 21:46:00,0.0,0.0,0.0,0
2018-01-03 21:46:10,0.0,0.0,0.0,0
2018-01-03 21:46:20,0.98659541,1.0001092252189367,0.0,1
2018-01-03 21:46:30,0.986530139,1.000654250371533,0.0,1
2018-01-03 21:46:40,0.98644089,1.0010224736086553,0.0,1
